test,key,value
resonator/fractional delay comparison,linear.nsPerSample,2.16364
resonator/fractional delay comparison,hermite.maxPitchErrorCents_C1_C6,0.0103836
resonator/fractional delay comparison,hermite.maxPitchErrorCents_C7_C8,0.136127
resonator/fractional delay comparison,hermite.gainDb_frac0.5_at_0.25fs,-1.0721
resonator/fractional delay comparison,hermite.gainDb_frac0.5_at_0.45fs,-12.6627
resonator/fractional delay comparison,hermite.hfDecayRatio_frac0.5_vs_0,0.504245
resonator/fractional delay comparison,hermite.sweepSNRdB_3kHz,62.109
resonator/fractional delay comparison,hermite.sweepMaxErrorJump,0.000396999
resonator/fractional delay comparison,hermite.nsPerSample,3.68314
resonator/fractional delay comparison,lagrange3.maxPitchErrorCents_C1_C6,6.24164e-05
resonator/fractional delay comparison,lagrange3.maxPitchErrorCents_C7_C8,0.00736956
resonator/fractional delay comparison,lagrange3.gainDb_frac0.5_at_0.25fs,-1.0721
resonator/fractional delay comparison,lagrange3.gainDb_frac0.5_at_0.45fs,-12.6627
resonator/fractional delay comparison,lagrange3.hfDecayRatio_frac0.5_vs_0,0.504245
resonator/fractional delay comparison,lagrange3.sweepSNRdB_3kHz,68.0563
resonator/fractional delay comparison,lagrange3.sweepMaxErrorJump,0.000214653
resonator/fractional delay comparison,lagrange3.nsPerSample,2.65651
resonator/fractional delay comparison,thiran1.maxPitchErrorCents_C1_C6,2.0872e-05
resonator/fractional delay comparison,thiran1.maxPitchErrorCents_C7_C8,5.49497e-05
resonator/fractional delay comparison,thiran1.gainDb_frac0.5_at_0.25fs,9.7188e-08
resonator/fractional delay comparison,thiran1.gainDb_frac0.5_at_0.45fs,3.37967e-08
resonator/fractional delay comparison,thiran1.hfDecayRatio_frac0.5_vs_0,0.997825
resonator/fractional delay comparison,thiran1.sweepSNRdB_3kHz,49.0213
resonator/fractional delay comparison,thiran1.sweepMaxErrorJump,0.0147594
resonator/fractional delay comparison,thiran1.nsPerSample,2.38557
resonator/pitch C1-C6 across sample rates,worstPitchErrorCents_harmonic,6.73441e-05
resonator/pitch C1-C6 across sample rates,worstPitchErrorCents_dispersive,0.00329423
resonator/chromatic intervals,worstChromaticErrorCents_C3_C5,0.000108659
resonator/frequency dependent decay accuracy,worstT60RelErr_fundamental,3.53651e-05
